team,wins
ANA,85
ARI,63
ATL,85
BAL,78
BOS,125
CHA,51
CHN,72
CIN,60
CLE,104
COL,89
DET,58
HOU,85
KCA,66
LAN,129
MIA,49
MIL,95
MIN,87
NYA,88
NYN,100
OAK,113
PHI,64
PIT,69
SDN,61
SEA,58
SFN,34
SLN,104
TBA,78
TEX,95
TOR,60
WAS,124
