team,wins
ANA,79
ARI,81
ATL,84
BAL,74
BOS,91
CHA,74
CHN,77
CIN,68
CLE,88
COL,85
DET,70
HOU,81
KCA,80
LAN,93
MIA,65
MIL,93
MIN,84
NYA,94
NYN,83
OAK,96
PHI,75
PIT,76
SDN,76
SEA,72
SFN,61
SLN,93
TBA,83
TEX,82
TOR,76
WAS,95
