team,wins
ANA,76
ARI,92
ATL,82
BAL,69
BOS,69
CHA,89
CHN,79
CIN,70
CLE,78
COL,84
DET,76
HOU,80
KCA,92
LAN,67
MIA,77
MIL,92
MIN,82
NYA,98
NYN,70
OAK,86
PHI,82
PIT,81
SDN,86
SEA,82
SFN,82
SLN,87
TBA,86
TEX,71
TOR,86
WAS,77
